raw_row_number,date,time,location,lat,lng,sector,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,outcome,vehicle_registration_state,raw_race
1291,2015-09-29,08:04:00,"W 5TH ST & MORCH, OWENSBORO, KY, 42303",37.7705771,-87.1296143,ALPHA,59,black,male,25b5b77fe8,vehicular,"NO REGISTRATION PLATES; NO REGISTRATION RECEIPT; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF; FAILURE TO NOTIFY ADRS CHANGE TO DEPT OF TRANS",FALSE,TRUE,citation,KY,BLACK
1292,2015-09-29,09:18:00,"BRECKENRIDGE ST & E 18TH ST, OWENSBORO, KY, 42301",37.7597827,-87.0979485,DELTA,23,white,male,25b5b77fe8,vehicular,"NO REGISTRATION PLATES; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF; NO REGISTRATION RECEIPT",FALSE,TRUE,citation,KY,WHITE
1293,2015-09-29,10:01:00,"BRECKENRIDGE ST & E 18TH ST, HARTFORD, KY, 42347",37.7594368,-87.0978548,DELTA,51,white,female,25b5b77fe8,vehicular,NO REGISTRATION PLATES; NO REGISTRATION RECEIPT; NO OPERATORS-MOPED LICENSE; FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1294,2015-09-29,10:19:00,"BRECKENRIDGE ST & E 18TH ST, OWENSBORO, KY, 42303",37.75865,-87.0978988,DELTA,44,white,male,25b5b77fe8,vehicular,NO REGISTRATION PLATES; NO REGISTRATION RECEIPT; OWNER TO NOTIFY CLERK OF RESIDENCE OR ME CHANGE; FAILURE TO NOTIFY ADRS CHANGE TO DEPT OF TRANS; FAILURE TO PRODUCE INSURANCE CARD; FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1295,2015-10-01,14:10:00,"E PARRISH AVE & BLUFF AVE, CALHOUN, KY, 42327",37.7654952,-87.0939447,BRAVO,22,white,male,a118e7add8,vehicular,DRIVING ON DUI SUSPENDED LICENSE -1ST OFFENSE; NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
1296,2015-10-04,20:21:00,"2ND ST AND FREDERICA ST, OWENSBORO, KY, 42303",37.7747855,-87.1135443,BRAVO,18,white,male,da49997d3b,vehicular,NO REGISTRATION PLATES; LICENSE TO BE IN POSSESSION,FALSE,TRUE,citation,KY,WHITE
1297,2015-12-06,14:05:00,"VEACH RD & DIETERLE DR, OWENSBORO, KY, 42301",37.7469524,-87.1016401,DELTA,47,white,male,a118e7add8,pedestrian,"POSS CONT SUB 1ST DEG, 1ST OFF (METHAMPHETAMINE)",TRUE,TRUE,arrest,KY,WHITE
1298,2015-10-07,08:38:00,"BRECKENRIDGE ST/18TH, OWENSBORO, KY, 42303",37.7590739,-87.0979057,DELTA,20,white,male,0b087b613e,vehicular,"NO REGISTRATION PLATES; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 2ND OFF",FALSE,TRUE,citation,KY,WHITE
1299,2015-10-09,07:58:00,"1700 E 4TH ST, OWENSBORO, KY, 42301",37.7746981,-87.0936757,BRAVO,31,white,female,0b087b613e,vehicular,SPEEDING 21 MPH OVER LIMIT,FALSE,TRUE,citation,KY,WHITE
1300,2015-10-22,09:30:00,"E 4TH ST/JR MILLER, OWENSBORO, KY, 42301",37.7728009,-87.1087007,BRAVO,44,white,male,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1301,2015-10-22,09:46:00,"E 4TH ST/JR MILLER, HENDERSON, KY, 42420",37.7727998,-87.1087,BRAVO,43,white,male,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1302,2015-10-22,10:41:00,"E 4TH ST/JR MILLER, OWENSBORO, KY, 42303",37.7727989,-87.1087025,BRAVO,51,white,male,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1303,2015-10-22,11:01:00,"E 4TH ST/JR, OWENSBORO, KY, 42301",37.7727987,-87.1087023,BRAVO,19,white,female,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1304,2015-10-22,11:14:00,"E 4TH ST/JR MILLER, OWENSBORO, KY, 42303",37.7728005,-87.1087003,BRAVO,50,white,female,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1305,2015-11-03,08:23:00,"2500 FREDERICA ST, OWENSBORO, KY, 42301",37.7511627,-87.1116972,CHARLIE,41,asian/pacific islander,male,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,ASIAN
1306,2015-11-03,11:59:00,"1800 TRIPLETT ST, OWENSBORO, KY, 42301",37.7589134,-87.102821,DELTA,35,white,male,0b087b613e,vehicular,"FAILURE TO WEAR SEAT BELTS; OPERATING ON SUS OR REV OPER LICENSE; NO REGISTRATION PLATES; FAILURE TO REGISTER TRANSFER OF MOTOR VEHICLE; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 2ND OFF",FALSE,TRUE,citation,KY,WHITE
1307,2015-11-11,13:20:00,"1800 TRIPLETT ST, CENTERTOWN, KY, 42328",37.7589119,-87.1028221,DELTA,63,white,male,0b087b613e,vehicular,NO REGISTRATION PLATES; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
1308,2015-11-12,08:21:00,"1600 W PARRISH AVE, OWENSBORO, KY, 42301",37.7607959,-87.1250533,CHARLIE,17,white,male,0b087b613e,vehicular,SPEEDING 14 MPH OVER LIMIT; OPERATING ON SUS OR REV OPER LICENSE,FALSE,TRUE,citation,IN,WHITE
1309,2015-11-12,08:38:00,"600 W PARRISH AVE, OWENSBORO, KY, 42301",37.763111,-87.1171512,CHARLIE,57,white,female,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1310,2015-11-13,08:33:00,"1100 E 18TH ST, FRANKFORT, KY, 40601",37.75907,-87.0979064,DELTA,43,white,male,0b087b613e,vehicular,NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
1311,2015-12-08,11:10:00,"FREDERICA ST/BYERS, OWENSBORO, KY, 42301",37.7414456,-87.1172495,ECHO,28,white,female,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1312,2015-12-08,11:56:00,"W 4TH ST/FREDERICA, WHITESVILLE, KY, 42378",37.772556,-87.1133412,BRAVO,41,white,male,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1313,2015-12-08,12:06:00,"FREDERICA ST/4TH, UTICA, KY, 42376",37.772555,-87.1133405,BRAVO,51,white,male,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1314,2015-12-08,12:23:00,"W 4TH ST/FREDERICA, OWENSBORO, KY, 42301",37.7725562,-87.1133414,BRAVO,26,white,female,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS; FAILURE TO USE CHILD RESTRAINT DEVICE IN VEHICLE; LICENSE TO BE IN POSSESSION; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
1315,2015-12-08,12:37:00,"W 4TH ST/FREDERICA, OWENSBORO, KY, 42303",37.7725577,-87.1133429,BRAVO,58,white,male,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1316,2015-12-08,12:57:00,"W 4TH ST/FREDERICA, LIVERMORE, KY, 42352",37.7725555,-87.113341,BRAVO,25,white,female,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,OH,WHITE
1317,2015-12-08,13:10:00,"W 4TH ST/FREDERICA, OWENSBORO, KY, 42301",37.772557,-87.1133431,BRAVO,45,white,female,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1318,2015-12-10,12:36:00,"1800 TRIPLETT ST, GRANDVIEW, IN, 47615",37.75891,-87.1028208,DELTA,56,white,female,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,IN,WHITE
1319,2015-12-18,09:32:00,"E 4TH ST/JR MILLER, OWENSBORO, KY, 42301",37.7727982,-87.1087019,BRAVO,41,white,male,0b087b613e,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1320,2015-12-28,08:39:00,"1800 BRECKENRIDGE ST, OWENSBORO, KY, 42303",37.759074,-87.0979052,DELTA,33,white,female,0b087b613e,vehicular,NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
1321,2015-10-30,01:31:00,"4800 FREDERICA ST, OWENSBORO, KY, 42301",37.7235418,-87.1239211,ECHO,29,white,male,948750a9fa,vehicular,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF; NO OPERATORS-MOPED LICENSE; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF",TRUE,TRUE,arrest,KY,WHITE
1322,2015-11-22,02:12:00,"1800 BLK CARTER RD, OWENSBORO, KY, 42301",37.7535117,-87.1460041,CHARLIE,37,white,male,da49997d3b,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF,TRUE,TRUE,arrest,KY,WHITE
1323,2016-03-27,00:43:00,"VEBLE AVE AND MAYO AVE, OWENSBORO, KY, 42303",37.7609103,-87.1282836,CHARLIE,39,white,male,da49997d3b,vehicular,DRIVING DUI SUSPENDED LICENSE - 1ST OFF (AGG CIRCUM); FAILURE TO PRODUCE INSURANCE CARD; NO REGISTRATION PLATES,TRUE,TRUE,arrest,KY,WHITE
1324,2015-10-14,21:53:00,"3200 STADIUM DR, OWENSBORO, KY, 42303",37.7426479,-87.1226032,ECHO,55,white,male,650c0c1758,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF,TRUE,TRUE,arrest,KY,WHITE
1325,2015-11-28,21:36:00,"E 25TH ST & JR MILLER BLVD, OWENSBORO, KY, 42303",37.7536357,-87.0896017,DELTA,51,white,female,650c0c1758,vehicular,FAILURE TO PRODUCE INSURANCE CARD; OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 2ND OFF,TRUE,TRUE,arrest,KY,WHITE
1326,2015-10-25,17:03:00,"FREDERICA ST & 14TH ST, OWENSBORO, KY, 42301",37.7629151,-87.1124587,DELTA,26,white,male,5ca7795d33,vehicular,NO REGISTRATION PLATES; NO REGISTRATION RECEIPT; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
1327,2015-10-28,15:46:00,"POPLAR ST & 4TH ST, OWENSBORO, KY, 42301",37.7721254,-87.1202485,ALPHA,30,white,female,5ca7795d33,vehicular,NO REGISTRATION PLATES; NO REGISTRATION RECEIPT; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
1328,2015-11-05,08:50:00,"FREDERICA ST & TAMARACK, OWENSBORO, KY, 42301",37.7362746,-87.1192363,FOX,39,white,male,5ca7795d33,vehicular,NO REGISTRATION PLATES; NO REGISTRATION RECEIPT; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
1329,2015-11-16,13:00:00,"BOOTH AVE & DUKE DR, OWENSBORO, KY, 42301",37.751451,-87.1174006,CHARLIE,28,white,female,5ca7795d33,vehicular,DRIVING WITHOUT LICENSE/NEGLIGENCE IN ACCIDENT; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,TX,WHITE
1330,2015-11-22,13:29:00,"BOOTH AVE, OWENSBORO, KY, 42303",37.7524666,-87.1113803,CHARLIE,19,white,male,5ca7795d33,vehicular,RECKLESS DRIVING,FALSE,TRUE,citation,KY,WHITE
1331,2015-11-30,08:13:00,"BOOTH AVE & FREDERICA, OWENSBORO, KY, 42303",37.7524252,-87.1114109,CHARLIE,26,white,female,5ca7795d33,vehicular,NO REGISTRATION PLATES; NO REGISTRATION RECEIPT,FALSE,TRUE,citation,KY,WHITE
1332,2015-11-30,12:45:00,W PARRISH AVE & CARTER,37.7575396,-87.1457693,CHARLIE,28,black,male,5ca7795d33,vehicular,"COMMUNICATION DEVICE VIOLATION, 1ST OFF.; FAILURE TO PRODUCE INSURANCE CARD; LICENSE TO BE IN POSSESSION",FALSE,TRUE,citation,KY,BLACK
1333,2015-12-10,08:00:00,"4621 FREDERICA ST, UTICA, KY, 42376",37.7181962,-87.1251954,ECHO,40,white,female,5ca7795d33,pedestrian,"ILLEGAL POSSESSION OF LEGEND DRUG; POSS CONT SUB 1ST DEG 1ST OFF (DRUG UNSPECIFIED); PRESCRIPTION CONT SUB NOT PROPER CONTAIN 1ST OFF; POSS CONT SUB 1ST DEG, 1ST OFF (METHAMPHETAMINE); DRUG PARAPHERLIA - BUY/POSSESS",TRUE,TRUE,arrest,KY,WHITE
1334,2015-12-24,07:47:00,"DIXIA DR & NEWHART FORD, OWENSBORO, KY, 42301",37.7433454,-87.0948248,DELTA,25,white,male,5ca7795d33,vehicular,NO REGISTRATION PLATES; NO REGISTRATION RECEIPT; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
1335,2015-12-31,20:26:00,"E PARRISH AVE, OWENSBORO, KY, 42303",37.7645702,-87.1033566,DELTA,32,white,male,5ca7795d33,pedestrian,"POSS CONT SUB, 2ND DEGREE - AMPHETAMINE",FALSE,TRUE,citation,KY,WHITE
1336,2016-01-01,21:15:00,"W PARRISH AVE & CARTER, WHITESVILLE, KY, 42378",37.7576163,-87.1456723,CHARLIE,19,white,male,5ca7795d33,vehicular,DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT,FALSE,TRUE,citation,KY,WHITE
1337,2016-01-02,17:08:00,"STARLITE DR & PARRISH AVE, OWENSBORO, KY, 42303",37.7567012,-87.1504627,CHARLIE,43,white,female,5ca7795d33,vehicular,NO REGISTRATION PLATES; NO REGISTRATION RECEIPT,FALSE,TRUE,citation,KY,WHITE
1338,2015-10-13,12:05:00,"W PARRISH AVE & CARTER RD, OWENSBORO, KY, 42301",37.7576337,-87.1456605,CHARLIE,23,white,female,78fbcbf614,vehicular,"COMMUNICATION DEVICE VIOLATION, 1ST OFF.",FALSE,TRUE,citation,KY,WHITE
1339,2015-10-15,11:35:00,"4500 FREDERICA ST, OWENSBORO, KY, 42303",37.7243888,-87.1237282,ECHO,58,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1340,2015-10-15,11:45:00,"4500 BLOCK FREDERICA ST, RUSSELLVILLE, KY, 42276",37.7244561,-87.1237038,ECHO,47,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1341,2015-10-15,11:57:00,"4500B BLOCK FREDERICA ST, BREMEN, KY, 42325",37.7247131,-87.1236515,ECHO,54,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1342,2015-10-28,13:39:00,"1800 BLOCK GRIFFITH AVE, OWENSBORO, KY, 42301",37.7545524,-87.13401,CHARLIE,57,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1343,2015-10-29,09:59:00,"1500 BLOCK W 5TH ST, OWENSBORO, KY, 42303",37.7707352,-87.1275902,ALPHA,49,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1344,2015-10-29,10:34:00,"1100 BLOCK CARTER RD, OWENSBORO, KY, 42301",37.7624176,-87.1476725,ALPHA,32,black,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,BLACK
1345,2015-10-29,10:42:00,"1100 BLOCK CARTER RD, OWENSBORO, KY, 42303",37.7617661,-87.1473563,ALPHA,51,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS; NO REGISTRATION PLATES; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
1346,2015-10-29,12:10:00,"3300 BLOCK W 4TH ST, OWENSBORO, KY, 42303",37.7730428,-87.1512533,ALPHA,39,white,female,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1347,2015-10-29,14:36:00,"3300 W 4TH ST, OWENSBORO, KY, 42303",37.7730446,-87.1508582,ALPHA,27,black,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,BLACK
1348,2015-10-31,10:15:00,"LEWIS LN & GRIFFITH AVE, OWENSBORO, KY, 42301",37.7550445,-87.1313819,CHARLIE,32,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1349,2015-11-01,08:25:00,"W 9TH ST & FREDERICA ST, OWENSBORO, KY, 42303",37.7674086,-87.1129069,BRAVO,36,white,female,78fbcbf614,vehicular,"FAILURE TO WEAR SEAT BELTS; OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE; NO REGISTRATION PLATES; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF",FALSE,TRUE,citation,KY,WHITE
1350,2015-11-01,08:45:00,"W 9TH ST & FREDERICA ST, OWENSBORO, KY, 42301",37.7674064,-87.1128925,BRAVO,45,black,female,78fbcbf614,vehicular,NO REGISTRATION PLATES; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,BLACK
1351,2015-11-01,09:19:00,"E PARRISH AVE & JR MILLER BLVD, OWENSBORO, KY, 42303",37.764298,-87.1079928,DELTA,51,white,male,78fbcbf614,vehicular,NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
1352,2015-11-04,11:06:00,"TAMARACK RD & ARLINGTON DR, OWENSBORO, KY, 42303",37.7319908,-87.1429262,SOUTHWEST,19,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1353,2015-11-05,13:47:00,"600 BLOCK SOUTHTOWN BLVD, OWENSBORO, KY, 42303",37.7223473,-87.1237685,FOX,27,white,female,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1354,2015-11-06,08:12:00,"HWY 144 & PLEASANT VALLEY RD, PHILPOT, KY, 42366",37.7833732,-87.0758783,EAST,23,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1355,2015-11-06,08:23:00,"KY54 & BYPASS, OWENSBORO, KY, 42303",37.7577347,-87.0711545,DELTA,22,white,female,78fbcbf614,vehicular,NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
1356,2015-11-09,07:58:00,"E BYERS AVE & E PARRISH AVE, WHITESVILLE, KY, 42378",37.7591375,-87.0748364,DELTA,25,white,male,78fbcbf614,vehicular,"NO REGISTRATION PLATES; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF; OPERATING ON SUS OR REV OPER LICENSE",FALSE,TRUE,citation,KY,WHITE
1357,2015-11-12,07:37:00,"2300 BLOCK FREDERICA ST, OWENSBORO, KY, 42301",37.752612,-87.1113776,CHARLIE,29,white,female,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS; NO REGISTRATION PLATES,FALSE,TRUE,citation,IN,WHITE
1358,2015-11-12,08:05:00,"2300 BLOCK FREDERICA ST, OWENSBORO, KY, 42301",37.7526109,-87.1113803,CHARLIE,26,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1359,2015-11-13,07:56:00,"4500 BLOCK FREDERICA ST, UTICA, KY, 42376",37.7250713,-87.1235666,ECHO,31,white,female,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1360,2015-11-16,11:25:00,"S GRIFFITH AVE & BOOTH AVE, EVANSVILLE, IN, 47714",37.7495176,-87.1254275,CHARLIE,38,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1361,2015-11-17,07:23:00,"2800 BLOCK CRAVENS AVE, OWENSBORO, KY, 42303",37.7677084,-87.1458665,ALPHA,18,white,male,78fbcbf614,vehicular,CARELESS DRIVING,FALSE,TRUE,citation,KY,WHITE
1362,2015-11-20,13:47:00,"W PARRISH AVE & VEBLE AVE, OWENSBORO, KY, 42301",37.7601036,-87.1281845,CHARLIE,35,white,female,78fbcbf614,vehicular,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF,TRUE,TRUE,arrest,KY,WHITE
1363,2015-11-23,07:16:00,"280 BLOCK CRAVENS AVE, OWENSBORO, KY, 42301",37.7678592,-87.1454335,ALPHA,38,black,male,78fbcbf614,vehicular,SPEEDING 10 MPH OVER LIMIT,FALSE,TRUE,citation,KY,BLACK
1364,2015-11-23,07:46:00,"2800 BLOCK CRAVENS AVE, OWENSBORO, KY, 42301",37.7676499,-87.1459994,ALPHA,20,black,female,78fbcbf614,vehicular,SPEEDING 11 MPH OVER LIMIT,FALSE,TRUE,citation,KY,BLACK
1365,2015-11-23,08:04:00,"2700 BLOCK CRAVENS AVE, OWENSBORO, KY, 42301",37.7678342,-87.1453413,ALPHA,59,white,male,78fbcbf614,vehicular,SPEEDING 14 MPH OVER LIMIT,FALSE,TRUE,citation,KY,WHITE
1366,2015-11-23,10:38:00,"1100 BLOCK CARTER RD, MORGANFIELD, KY, 42437",37.7624084,-87.1476331,ALPHA,43,black,female,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS; NO OTHER STATE REGISTRATION RECEIPT,FALSE,TRUE,citation,IN,BLACK
1367,2015-11-24,10:18:00,"1100 BLOCK CARTER RD, EVANSVILLE, IN, 47714",37.7636373,-87.1482189,ALPHA,26,white,female,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,IN,WHITE
1368,2015-11-24,10:41:00,"1100 BLOCK CARTER RD, OWENSBORO, KY, 42301",37.7628426,-87.1478793,ALPHA,52,black,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,BLACK
1369,2015-11-24,12:48:00,"SOUTHTOWN BLVD & GEMINI DR, UTICA, KY, 42376",37.7234662,-87.1424735,ECHO,52,white,female,78fbcbf614,vehicular,NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
1370,2015-11-24,13:22:00,"W 9TH ST& MCFARLAND AVE, OWENSBORO, KY, 42301",37.7635139,-87.1342403,ALPHA,57,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1371,2015-12-08,07:49:00,"500 BLOCK CRABTREE AVE, OWENSBORO, KY, 42301",37.7702548,-87.1344092,ALPHA,21,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1372,2015-12-08,07:55:00,"700 BLOCK CRABTREE AVE, OWENSBORO, KY, 42301",37.7678591,-87.1341859,ALPHA,47,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1373,2015-12-09,13:53:00,"FREDERICA ST & TIME DR, ISLAND, KY, 42350",37.7312241,-87.1214503,FOX,27,white,female,78fbcbf614,vehicular,"NO REGISTRATION PLATES; FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC, 1ST OFF",FALSE,TRUE,citation,KY,WHITE
1374,2015-12-10,08:00:00,"BOOTH AVEV & S GRIFFITH AVE, OWENSBORO, KY, 42301",37.7493718,-87.1254473,CHARLIE,38,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1375,2015-12-11,14:21:00,"4600 BLOCK FREDERICA ST, OWENSBORO, KY, 42301",37.7245396,-87.1235023,FOX,23,white,female,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1376,2016-01-04,10:09:00,"3700 BLOCK FREDERICA ST, OWENSBORO, KY, 42303",37.7364359,-87.1192036,FOX,34,white,female,78fbcbf614,vehicular,NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
1377,2016-01-28,09:39:00,"1400 BLOCK W 9TH ST, OWENSBORO, KY, 42303",37.76631,-87.1264672,ALPHA,79,white,male,78fbcbf614,vehicular,NO REGISTRATION PLATES,FALSE,TRUE,citation,KY,WHITE
1378,2016-01-28,12:23:00,"4300 BLOCK SOUTHTOWN BLVD, OWENSBORO, KY, 42301",37.72535,-87.1520199,ECHO,35,black,male,78fbcbf614,vehicular,OPERATING ON SUS OR REV OPER LICENSE,FALSE,TRUE,citation,KY,BLACK
1379,2016-02-09,08:15:00,"1900 BLOCK SOUTHTOWN BLVD, OWENSBORO, KY, 42301",37.7231613,-87.1406718,ECHO,34,white,male,78fbcbf614,vehicular,FAILURE TO WEAR SEAT BELTS,FALSE,TRUE,citation,KY,WHITE
1380,2015-10-16,09:45:00,"FREDERICA ST & WEST 24TH ST, OWENSBORO, KY, 42303",37.7525371,-87.1114103,CHARLIE,58,white,female,e3f1be0cb8,vehicular,DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT,FALSE,TRUE,citation,KY,WHITE
1381,2015-10-25,10:15:00,"W BYERS AVE & FREDERICA ST, OWENSBORO, KY, 42301",37.7423372,-87.116861599999993,ECHO,43,white,female,e3f1be0cb8,vehicular,RECKLESS DRIVING; OPERATING ON SUS OR REV OPER LICENSE; IMPROPER REGISTRATION PLATE; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
1382,2015-10-16,23:08:00,"W PARRISH AVE/LOCUST, BOWLING GREEN, KY, 42101",37.7635675,-87.114808300000007,BRAVO,47,black,female,cccb830893,vehicular,NO REGISTRATION PLATES; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,BLACK
1383,2015-11-09,01:18:00,"1100 BLK MORELAND AVE, OWENSBORO, KY, 42303",37.7653488,-87.1225631,CHARLIE,20,white,female,cccb830893,vehicular,NO OPERATORS-MOPED LICENSE,FALSE,TRUE,citation,KY,WHITE
1384,2015-11-09,05:12:00,"1800 BLK W 2ND ST, MOBILE, AL, 36617",37.7734199,-87.1363339,ALPHA,38,black,male,cccb830893,vehicular,SPEEDING 17 MPH OVER LIMIT,FALSE,TRUE,citation,FL,BLACK
1385,2015-11-09,05:37:00,"W PARRISH AVE/STARLITE DR, OWENSBORO, KY, 42301",37.7568358,-87.1503434,ALPHA,37,white,male,cccb830893,vehicular,FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
1386,2015-11-13,03:07:00,"1200 BLK CARTER RD, OWENSBORO, KY, 42301",37.7601208,-87.1464504,ALPHA,33,white,male,cccb830893,vehicular,DRIVING ON DUI SUSPENDED LICENSE -1ST OFFENSE; FAILURE TO PRODUCE INSURANCE CARD,FALSE,TRUE,citation,KY,WHITE
